video_id,embedding,collection,party,type,x,y,projection_Democrat_Republican
7.405715054437436e+18,"[ 0.04213163 -0.0274463  -0.03672863 ... -0.00549971 -0.04749464
 -0.02372766]",persona,Republican,video,-0.15156296,-0.08768382,0.02490508
7.406150589417131e+18,"[ 0.04683495  0.00930638 -0.01694022 ... -0.01286586 -0.01224118
 -0.00380994]",persona,Republican,video,-0.18431883,-0.019783398,0.07557215
7.40499239134364e+18,"[ 0.04093296 -0.02230757 -0.02119949 ... -0.0105768  -0.03111342
  0.04323512]",persona,Republican,video,-0.05460158,-0.066499114,0.057412095
7.405609498930466e+18,"[ 0.01362349 -0.00146226 -0.01174929 ... -0.01555109 -0.01738081
 -0.02635404]",persona,Republican,video,-0.13703409,-0.09582842,0.026226426
7.405572882903961e+18,"[ 0.01757413 -0.02052027 -0.01187309 ...  0.00511908 -0.04101759
  0.01781738]",persona,Democrat,video,-0.1257131,-0.0678493,-0.005427411
7.405213442308722e+18,"[ 0.02310185 -0.04590982 -0.03916429 ... -0.00778546 -0.02631936
 -0.00024324]",persona,Democrat,video,-0.13706784,-0.08199271,0.123989426
7.404971921747594e+18,"[ 0.043212   -0.01796122 -0.03610184 ...  0.00117901 -0.03208479
  0.02630437]",persona,Republican,video,-0.13585688,-0.13487002,0.095296964
7.403555068827405e+18,"[ 0.04458253 -0.01337048 -0.02636926 ... -0.00914635 -0.02563424
  0.01162733]",persona,Republican,video,-0.07671405,-0.030051652,0.026999548
7.406143433548582e+18,"[ 0.03460761 -0.0250764  -0.04548204 ... -0.02894203 -0.0251202
 -0.00257823]",persona,Republican,video,-0.049796656,-0.0863935,0.07915129
7.405987665637543e+18,"[ 0.01430392 -0.01770616 -0.02920119 ... -0.01326297 -0.04226565
 -0.00913284]",persona,Republican,video,-0.122835115,-0.120815046,0.03873726
7.405667575432039e+18,"[ 0.01938042 -0.01379982 -0.04354934 ... -0.00415256 -0.05056864
 -0.02091887]",persona,Republican,video,-0.18469004,-0.14149965,0.02250804
7.404533038333529e+18,"[ 0.04189826 -0.02326422 -0.01651504 ... -0.01624207 -0.04993635
  0.01587055]",persona,Democrat,video,-0.15780945,-0.10335479,-0.047719058
7.406076676620209e+18,"[ 0.0471787  -0.00881784 -0.0331572  ... -0.00513719 -0.00103756
  0.00409918]",persona,Republican,video,-0.06705166,-0.023965007,-0.014508116
7.405640662957428e+18,"[ 0.02255553 -0.01260035 -0.04158523 ... -0.00179862 -0.02999076
  0.01127819]",persona,Republican,video,-0.085551776,-0.06455765,0.0631927
7.403866597020061e+18,"[ 0.02389073 -0.03432106 -0.02339425 ...  0.00642432 -0.03461533
 -0.00618659]",persona,Republican,video,-0.12839527,-0.03428531,0.019996287
7.403473616203189e+18,"[ 0.03347209 -0.01859934 -0.02807596 ... -0.01834231 -0.03737057
 -0.00396226]",persona,Republican,video,-0.17938313,-0.116799824,0.057278566
7.408341349205822e+18,"[ 0.02921894 -0.02604131 -0.01315091 ...  0.01583749 -0.04846383
 -0.01837195]",persona,Republican,video,-0.14701176,-0.057219222,-0.0028459579
